"workerid","rt","trial_type","selection","pass","response","condition"
0,6390,"catch","read a conversation between friends and answer a question about the person they are talking about",0,2,"observation"
1,14864,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
2,8115,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
3,6246,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
4,8955,"catch","rate how often a typical person does an action",1,0,"baseline"
5,6339,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
6,6926,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
7,88882,"catch","read a conversation between friends and answer a question about the person they are talking about",0,2,"observation"
8,16069,"catch","rate how often a typical person does an action",0,0,"observation"
9,6524,"catch","rate how often a typical person does an action",1,0,"baseline"
10,3479,"catch","rate how often a typical person does an action",1,0,"baseline"
11,3099,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
12,21046,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
13,9173,"catch","rate how often a typical person does an action",1,0,"baseline"
14,4752,"catch","rate how often a typical person does an action",1,0,"baseline"
15,11535,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
16,1491,"catch","rate how often a typical person does an action",1,0,"baseline"
17,12630,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
18,4677,"catch","rate how often a typical person does an action",1,0,"baseline"
19,9821,"catch","rate how often a typical person does an action",1,0,"baseline"
20,10401,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
21,12405,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
22,4118,"catch","read a conversation between friends and answer a question about the person they are talking about",0,2,"observation"
23,20401,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
24,7190,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
25,6711,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
26,16201,"catch","rate how often a typical person does an action",1,0,"baseline"
27,5052,"catch","rate how often a typical person does an action",0,0,"observation"
28,6127,"catch","rate how often a typical person does an action",1,0,"baseline"
29,11410,"catch","rate how often a typical person does an action",1,0,"baseline"
30,7424,"catch","rate how often a typical person does an action",1,0,"baseline"
31,7354,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
32,2927,"catch","rate how often a typical person does an action",1,0,"baseline"
33,5419,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
34,4046,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
35,3256,"catch","rate how often a typical person does an action",1,0,"baseline"
36,6356,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
37,6686,"catch","rate how often a typical person does an action",1,0,"baseline"
38,5066,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
39,6121,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
40,27157,"catch","read a conversation between friends and answer a question about the person they are talking about",0,2,"baseline"
41,6974,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
42,15756,"catch","rate how often a typical person does an action",1,0,"baseline"
43,6468,"catch","rate how often a typical person does an action",1,0,"baseline"
44,13847,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
45,8975,"catch","rate how often a typical person does an action",0,0,"observation"
46,6711,"catch","rate how often a typical person does an action",1,0,"baseline"
47,22431,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
48,12288,"catch","rate how often a typical person does an action",0,0,"observation"
49,6221,"catch","rate how often a typical person does an action",1,0,"baseline"
50,13515,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
51,12904,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
52,5689,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
53,2832,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
54,12351,"catch","rate how often a typical person does an action",1,0,"baseline"
55,6216,"catch","rate how often a typical person does an action",1,0,"baseline"
56,27284,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
57,19663,"catch","rate how often a typical person does an action",1,0,"baseline"
58,10724,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
59,7017,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
60,15282,"catch","rate how often a typical person does an action",0,0,"observation"
61,23302,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
62,26472,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
63,17304,"catch","read a conversation between friends and answer a question about the person they are talking about",0,2,"observation"
64,21271,"catch","read a fact about a person and judge how frequently they do something",0,1,"baseline"
65,10312,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
66,21109,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
67,4568,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
68,9248,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
69,5090,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
70,4177,"catch","rate how often a typical person does an action",1,0,"baseline"
71,3224,"catch","rate how often a typical person does an action",1,0,"baseline"
72,13509,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
73,15290,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
74,11427,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
75,7147,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
76,12126,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
77,4368,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
78,1944,"catch","rate how often a typical person does an action",1,0,"baseline"
79,10973,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
80,12475,"catch","rate the number of men and woman that have done an action before",0,4,"observation"
81,13719,"catch","read a fact about a person and judge how frequently they do something",0,1,"communication"
82,5699,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
83,18754,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
84,7000,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
85,136089,"catch","rate how often a typical person does an action",1,0,"baseline"
86,28052,"catch","rate how often a typical person does an action",1,0,"baseline"
87,19499,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
88,7270,"catch","rate how often a typical person does an action",1,0,"baseline"
89,6658,"catch","rate how often a typical person does an action",1,0,"baseline"
90,9822,"catch","rate how often a typical person does an action",1,0,"baseline"
91,10360,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
92,11837,"catch","rate how often a typical person does an action",1,0,"baseline"
93,12316,"catch","rate how often a typical person does an action",0,0,"communication"
94,2936,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
95,7219,"catch","rate how often a typical person does an action",1,0,"baseline"
96,5490,"catch","rate how often a typical person does an action",1,0,"baseline"
97,18050,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
98,13472,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
99,2416,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
100,42921,"catch","rate how often a typical person does an action",1,0,"baseline"
101,4977,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
102,12582,"catch","rate how often a typical person does an action",1,0,"baseline"
103,3242,"catch","rate how often a typical person does an action",1,0,"baseline"
104,7369,"catch","rate how often a typical person does an action",1,0,"baseline"
105,3791,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
106,8633,"catch","rate how often a typical person does an action",1,0,"baseline"
107,3766,"catch","rate how often a typical person does an action",1,0,"baseline"
108,8067,"catch","rate how often a typical person does an action",1,0,"baseline"
109,2214,"catch","rate how often a typical person does an action",1,0,"baseline"
110,5337,"catch","rate how often a typical person does an action",1,0,"baseline"
111,7028,"catch","read a conversation between friends and answer a question about the person they are talking about",0,2,"baseline"
112,5787,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
113,9526,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
114,115248,"catch","rate how often a typical person does an action",1,0,"baseline"
115,12019,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
116,11795,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
117,5965,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
118,16138,"catch","read a conversation between friends and answer a question about the person they are talking about",0,2,"observation"
119,23832,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
120,9033,"catch","read a fact about a person and judge how frequently they do something",1,1,"observation"
121,7852,"catch","rate how often a typical person does an action",1,0,"baseline"
122,6220,"catch","read a conversation between friends and answer a question about the person they are talking about",1,2,"communication"
