"workerid","category","trial_type","trial_num","targetSentence","rt","timeWindow","freq_5years","past","item","verb","condition","n_times","logfreq","observationSentence"
0,"food","frequency_judgment",0,"Jack did cocaine today.",7171,"week",780,"did cocaine","does cocaine","do cocaine","observation",3,6.65929391968,"Jack did cocaine today."
0,"employment","frequency_judgment",1,"David stole a car today.",4510,"year",5,"stole a car","steals cars","steal cars","observation",1,1.60943791243,"David stole a car today."
0,"food","frequency_judgment",2,"Ted drank a beer today.",3798,"week",260,"drank a beer","drinks beer","drink beer","observation",1,5.56068163102,"Ted drank a beer today."
0,"food","frequency_judgment",3,"Maya smoked marijuana today.",4415,"week",520,"smoked marijuana","smokes marijuana","smoke marijuana","observation",2,6.25382881158,"Maya smoked marijuana today."
0,"food","frequency_judgment",4,"Seth ate caviar today.",4371,"month",60,"ate caviar","eats caviar","eat caviar","observation",1,4.09434456222,"Seth ate caviar today."
0,"hobby","frequency_judgment",5,"Melinda played tennis today.",9490,"week",520,"played tennis","plays tennis","play tennis","observation",2,6.25382881158,"Melinda played tennis today."
0,"entertainment","frequency_judgment",6,"Sophia watched a space launch today.",7618,"5 years",1,"watched a space launch","watches space launches","watch space launches","observation",1,0,"Sophia watched a space launch today."
0,"clothing","frequency_judgment",7,"Alexander wore a hat today.",7468,"week",1300,"wore a hat","wears a hat","wear a hat","observation",5,7.17011954345,"Alexander wore a hat today."
0,"food","frequency_judgment",8,"Janet drank coffee today.",5364,"week",1820,"drank coffee","drinks coffee","drink coffee","observation",7,7.50659178007,"Janet drank coffee today."
0,"entertainment","frequency_judgment",9,"Elisa listened to Pandora today.",8561,"week",1300,"listened to Pandora","listens to Pandora","listen to Pandora","observation",5,7.17011954345,"Elisa listened to Pandora today."
0,"food","frequency_judgment",10,"Nicole smoked cigarettes today.",3662,"week",1820,"smoked cigarettes","smokes cigarettes","smoke cigarettes","observation",7,7.50659178007,"Nicole smoked cigarettes today."
0,"entertainment","frequency_judgment",11,"Gabriel watched professional football today.",4854,"week",260,"watched professional football","watches professional football","watch professional football","observation",1,5.56068163102,"Gabriel watched professional football today."
0,"employment","frequency_judgment",12,"Veronica volunteered for a political campaign today.",4857,"year",5,"volunteered for a political campaign","volunteers for political campaigns","volunteer for political campaigns","observation",1,1.60943791243,"Veronica volunteered for a political campaign today."
