"workerid","rt","trial_type","trial_num","targetSentence","log_dayrate","interval","observationSentence","past","item","condition","ntimes","dayrate","utt","utt_interval"
0,14178,"propensity_judgment",1,"You overhear two friends talking. <br>One of them says to the other, ""Daniel washed his hair this week.""",-1.2527629685,"week","Daniel washed his hair this week.","washed their hair","wash their hair","communication",2,0.285714285714,"Daniel washed his hair this week.",week
0,7602,"propensity_judgment",2,"You overhear two friends talking. <br>One of them says to the other, ""Stephen took a vacation this year.""",-5.89989735358,"year","Stephen took a vacation this year.","took a vacation","take a vacation","communication",1,0.0027397260274,"Stephen took a vacation this year.",year
0,5554,"propensity_judgment",3,"You overhear two friends talking. <br>One of them says to the other, ""Angela used a cell phone today.""",0.69314718056,"day","Angela used a cell phone today.","used a cell phone","use a cell phone","communication",2,2,"Angela used a cell phone today.",day
0,5097,"propensity_judgment",4,"You overhear two friends talking. <br>One of them says to the other, ""Natalie wore a hat today.""",0,"day","Natalie wore a hat today.","wore a hat","wear a hat","communication",1,1,"Natalie wore a hat today.",day
0,4584,"propensity_judgment",5,"You overhear two friends talking. <br>One of them says to the other, ""Doug went outside today.""",0,"day","Doug went outside today.","went outside","go outside","communication",1,1,"Doug went outside today.",day
0,6855,"propensity_judgment",6,"You overhear two friends talking. <br>One of them says to the other, ""Derrick washed his dishes today.""",0,"day","Derrick washed his dishes today.","washed their dishes","wash their dishes","communication",1,1,"Derrick washed his dishes today.",day
0,5034,"propensity_judgment",7,"You overhear two friends talking. <br>One of them says to the other, ""Alicia paid her taxes this year.""",-5.89989735358,"year","Alicia paid her taxes this year.","paid their taxes","pay their taxes","communication",1,0.0027397260274,"Alicia paid her taxes this year.",year
0,4719,"propensity_judgment",8,"You overhear two friends talking. <br>One of them says to the other, ""Christopher drove a car today.""",0.69314718056,"day","Christopher drove a car today.","drove a car","drive a car","communication",2,2,"Christopher drove a car today.",day
0,5991,"propensity_judgment",9,"You overhear two friends talking. <br>One of them says to the other, ""Scott wore glasses today.""",0,"day","Scott wore glasses today.","wore glasses","wear glasses","communication",1,1,"Scott wore glasses today.",day
0,16565,"propensity_judgment",10,"You overhear two friends talking. <br>One of them says to the other, ""Hillary wore a shirt today.""",0,"day","Hillary wore a shirt today.","wore a shirt","wear a shirt","communication",1,1,"Hillary wore a shirt today.",day
0,4650,"propensity_judgment",11,"You overhear two friends talking. <br>One of them says to the other, ""Amber wore tie-dye today.""",0,"day","Amber wore tie-dye today.","wore tie-dye","wear tie-dye","communication",1,1,"Amber wore tie-dye today.",day
0,2586,"propensity_judgment",12,"You overhear two friends talking. <br>One of them says to the other, ""Greg wore shoes today.""",0,"day","Greg wore shoes today.","wore shoes","wear shoes","communication",1,1,"Greg wore shoes today.",day
0,3649,"propensity_judgment",13,"You overhear two friends talking. <br>One of them says to the other, ""Stephanie ate pasta today.""",0,"day","Stephanie ate pasta today.","ate pasta","eat pasta","communication",1,1,"Stephanie ate pasta today.",day
0,4247,"propensity_judgment",14,"You overhear two friends talking. <br>One of them says to the other, ""Martin bought his own groceries this week.""",-1.2527629685,"week","Martin bought his own groceries this week.","bought their own groceries","buy their own groceries","communication",2,0.285714285714,"Martin bought his own groceries this week.",week
0,7219,"propensity_judgment",15,"You overhear two friends talking. <br>One of them says to the other, ""Jacob exercised this month.""",-1.79175946923,"month","Jacob exercised this month.","exercised","exercise","communication",5,0.166666666667,"Jacob exercised this month.",month
0,5608,"propensity_judgment",16,"You overhear two friends talking. <br>One of them says to the other, ""Elizabeth changed her bedsheets this week.""",-1.94591014906,"week","Elizabeth changed her bedsheets this week.","changed their bedsheets","change their bedsheets","communication",1,0.142857142857,"Elizabeth changed her bedsheets this week.",week
0,2934,"propensity_judgment",17,"You overhear two friends talking. <br>One of them says to the other, ""Michelle drank coffee today.""",0,"day","Michelle drank coffee today.","drank coffee","drink coffee","communication",1,1,"Michelle drank coffee today.",day
0,2954,"propensity_judgment",18,"You overhear two friends talking. <br>One of them says to the other, ""Michael ate meat today.""",0,"day","Michael ate meat today.","ate meat","eat meat","communication",1,1,"Michael ate meat today.",day
0,3969,"propensity_judgment",19,"You overhear two friends talking. <br>One of them says to the other, ""Claire went to a Renaissance fair this year.""",-5.20675017302,"year","Claire went to a Renaissance fair this year.","went to a Renaissance fair","go to Renaissance fairs","communication",2,0.00547945205479,"Claire went to a Renaissance fair this year.",year
0,3069,"propensity_judgment",20,"You overhear two friends talking. <br>One of them says to the other, ""Monica took dance lessons this week.""",-1.2527629685,"week","Monica took dance lessons this week.","took dance lessons","take dance lessons","communication",2,0.285714285714,"Monica took dance lessons this week.",week
0,5021,"propensity_judgment",21,"You overhear two friends talking. <br>One of them says to the other, ""Tina went skiing this year.""",-5.89989735358,"year","Tina went skiing this year.","went skiing","go skiing","communication",1,0.0027397260274,"Tina went skiing this year.",year
0,2337,"propensity_judgment",22,"You overhear two friends talking. <br>One of them says to the other, ""Melinda drank lemonade today.""",0,"day","Melinda drank lemonade today.","drank lemonade","drink lemonade","communication",1,1,"Melinda drank lemonade today.",day
0,2169,"propensity_judgment",23,"You overhear two friends talking. <br>One of them says to the other, ""Seth ate breakfast today.""",0,"day","Seth ate breakfast today.","ate breakfast","eat breakfast","communication",1,1,"Seth ate breakfast today.",day
0,5519,"propensity_judgment",24,"You overhear two friends talking. <br>One of them says to the other, ""Lucas had a birthday party this year.""",-5.89989735358,"year","Lucas had a birthday party this year.","had a birthday party","have a birthday party","communication",1,0.0027397260274,"Lucas had a birthday party this year.",year
0,2781,"propensity_judgment",25,"You overhear two friends talking. <br>One of them says to the other, ""Kelly went on a hike this month.""",-3.40119738166,"month","Kelly went on a hike this month.","went on a hike","go on a hike","communication",1,0.0333333333333,"Kelly went on a hike this month.",month
